
EIC;;38ZEE-00492834-I;;
Seerianumber;;14165548;;
Näidik;;Aktiiv + h;;

Algusaeg;Lõppaeg;Kogus;Tunnikoguse tüüp
16.07.2018 23:00;17.07.2018 00:00;0,365;Tegelik;
17.07.2018 00:00;17.07.2018 01:00;1,763;Tegelik;
17.07.2018 01:00;17.07.2018 02:00;0,658;Tegelik;
17.07.2018 02:00;17.07.2018 03:00;1,006;Tegelik;
17.07.2018 03:00;17.07.2018 04:00;0,135;Tegelik;
17.07.2018 04:00;17.07.2018 05:00;0,079;Tegelik;
17.07.2018 05:00;17.07.2018 06:00;0,082;Tegelik;
17.07.2018 06:00;17.07.2018 07:00;0,069;Tegelik;
17.07.2018 07:00;17.07.2018 08:00;0,258;Tegelik;
17.07.2018 08:00;17.07.2018 09:00;0,438;Tegelik;
17.07.2018 09:00;17.07.2018 10:00;0,357;Tegelik;
17.07.2018 10:00;17.07.2018 11:00;0,273;Tegelik;
17.07.2018 11:00;17.07.2018 12:00;1,729;Tegelik;
17.07.2018 12:00;17.07.2018 13:00;0,645;Tegelik;
17.07.2018 13:00;17.07.2018 14:00;0,462;Tegelik;
17.07.2018 14:00;17.07.2018 15:00;0,459;Tegelik;
17.07.2018 15:00;17.07.2018 16:00;0,4;Tegelik;
17.07.2018 16:00;17.07.2018 17:00;1,466;Tegelik;
17.07.2018 17:00;17.07.2018 18:00;0,752;Tegelik;
17.07.2018 18:00;17.07.2018 19:00;0,312;Tegelik;
17.07.2018 19:00;17.07.2018 20:00;0,194;Tegelik;
17.07.2018 20:00;17.07.2018 21:00;0,203;Tegelik;
17.07.2018 21:00;17.07.2018 22:00;0,187;Tegelik;
17.07.2018 22:00;17.07.2018 23:00;0,189;Tegelik;
17.07.2018 23:00;18.07.2018 00:00;0,193;Tegelik;
18.07.2018 00:00;18.07.2018 01:00;2,029;Tegelik;
18.07.2018 01:00;18.07.2018 02:00;1,527;Tegelik;
18.07.2018 02:00;18.07.2018 03:00;0,884;Tegelik;
